fecha,tmed,prec,tmin,tmax,dir,velmedia,racha,sol,presMax,presMin
2010-01-26,5.4,0.0,0.7,10.1,5.0,4.7,13.3,6.5,960.9,957.4
2010-01-27,2.0,4.2,-1.0,5.1,6.0,4.7,13.6,4.7,962.5,957.4
2010-01-28,4.4,0.0,-2.4,11.3,29.0,2.5,8.1,8.5,962.2,954.6
2010-01-29,5.8,0.0,0.1,11.5,24.0,2.5,10.0,9.9,954.6,946.6
2010-01-30,6.9,0.0,1.1,12.7,30.0,3.1,11.1,9.9,950.9,948.0
2010-01-31,6.6,0.0,1.0,12.3,28.0,4.2,11.1,9.6,952.3,948.3
2010-02-01,7.0,0.0,2.0,12.0,1.0,1.4,8.9,9.8,963.2,952.3
2010-02-02,4.4,0.0,-2.3,11.2,11.0,2.8,5.6,9.7,964.3,961.0
2010-02-03,5.6,1.6,-1.9,13.0,9.0,3.1,6.9,7.3,961.1,952.6
2010-02-04,9.4,1.5,6.2,12.5,9.0,2.2,6.7,0.4,953.5,950.5
2010-02-05,10.0,0.0,6.6,13.5,29.0,7.5,18.9,8.4,962.6,953.3
2010-02-06,9.8,0.0,4.0,15.7,26.0,3.6,8.9,8.5,963.5,959.7
